Instance,SIB Ratio,SIB+Pivot Ratio,No.Pivot
801,0.7028571428571428,0.6942857142857143,33
802,0.6985714285714286,0.6842857142857143,33
803,0.6828571428571428,0.6785714285714286,29
804,0.7,0.6728571428571428,55
805,0.6971428571428572,0.6871428571428572,29
806,0.6985714285714286,0.6957142857142857,20
807,0.6885714285714286,0.6685714285714286,42
808,0.6942857142857143,0.6657142857142857,51
809,0.6914285714285714,0.6814285714285714,25
810,0.71,0.6957142857142857,23
811,0.71,0.7085714285714285,27
812,0.7114285714285714,0.7085714285714285,23
813,0.7171428571428572,0.6942857142857143,35
814,0.7185714285714285,0.7071428571428572,31
815,0.6942857142857143,0.6657142857142857,53
816,0.71,0.7,21
817,0.7014285714285714,0.7,29
818,0.6957142857142857,0.6728571428571428,60
819,0.69,0.6742857142857143,48
820,0.7042857142857143,0.6814285714285714,49
821,0.6942857142857143,0.68,54
822,0.6914285714285714,0.6885714285714286,22
823,0.7171428571428572,0.7042857142857143,34
824,0.6957142857142857,0.6857142857142857,36
825,0.7171428571428572,0.7128571428571429,23
826,0.7057142857142857,0.6842857142857143,25
827,0.6985714285714286,0.69,32
828,0.7085714285714285,0.6957142857142857,20
829,0.7171428571428572,0.7042857142857143,30
830,0.7057142857142857,0.6628571428571428,50
831,0.7085714285714285,0.69,46
832,0.7114285714285714,0.6928571428571428,28
833,0.7214285714285714,0.7,34
834,0.7271428571428571,0.7214285714285714,35
835,0.7,0.6871428571428572,32
836,0.6857142857142857,0.6814285714285714,33
837,0.71,0.6957142857142857,16
838,0.7071428571428572,0.6971428571428572,20
839,0.7028571428571428,0.6942857142857143,20
840,0.7014285714285714,0.6757142857142857,48
841,0.7185714285714285,0.7028571428571428,26
842,0.6985714285714286,0.6685714285714286,37
843,0.71,0.6942857142857143,51
844,0.6842857142857143,0.6742857142857143,17
845,0.7214285714285714,0.7085714285714285,25
846,0.7242857142857143,0.6928571428571428,57
847,0.6957142857142857,0.6842857142857143,29
848,0.7014285714285714,0.6628571428571428,58
849,0.7185714285714285,0.6971428571428572,24
850,0.6957142857142857,0.6771428571428572,27
851,0.7171428571428572,0.7028571428571428,42
852,0.69,0.68,17
853,0.7014285714285714,0.68,39
854,0.6871428571428572,0.6785714285714286,16
855,0.7328571428571429,0.7128571428571429,35
856,0.7028571428571428,0.6842857142857143,48
857,0.7128571428571429,0.69,41
858,0.7,0.6714285714285714,53
859,0.6671428571428571,0.6514285714285715,23
860,0.71,0.6957142857142857,47
861,0.7071428571428572,0.6757142857142857,37
862,0.7142857142857143,0.69,40
863,0.7085714285714285,0.6928571428571428,51
864,0.7157142857142857,0.6914285714285714,41
865,0.7028571428571428,0.6914285714285714,21
866,0.7085714285714285,0.6928571428571428,25
867,0.7257142857142858,0.7128571428571429,31
868,0.6914285714285714,0.6842857142857143,20
869,0.7042857142857143,0.6942857142857143,41
870,0.6971428571428572,0.6771428571428572,30
871,0.7,0.6885714285714286,12
872,0.7,0.6885714285714286,29
