no_of_file,run,problem,obj_gap,con_gap
20,0,Setcover,84.44,0.88033
20,0,Indset,15.633,0.00195
20,0,Cauctions,25.554,0.03106
20,0,Facilities,1.389,0.0064
20,1,Setcover,69.832,0.07908
20,1,Indset,4.038,0.20901
20,1,Cauctions,104.275,0.64634
20,1,Facilities,1.587,0.00055
20,2,Setcover,1574.895,0
20,2,Indset,5130.103,60.23043
20,2,Cauctions,6585.974,49.39365
20,2,Facilities,1.169,0.00611
20,3,Setcover,11.88,0.39224
20,3,Indset,53.142,6.00E-05
20,3,Cauctions,25.081,0.02026
20,3,Facilities,1.594,0.00075
20,4,Setcover,61.509,0.72386
20,4,Indset,34.121,0.00144
20,4,Cauctions,36.373,0.01617
20,4,Facilities,1.576,0.0005
20,5,Setcover,414.024,0.00141
20,5,Indset,55.708,0.00067
20,5,Cauctions,41.893,0.29849
20,5,Facilities,1.084,0.00634
20,6,Setcover,22.703,0.40959
20,6,Indset,64.23,0.00087
20,6,Cauctions,14.649,0.0849
20,6,Facilities,1.608,0.00156
20,7,Setcover,87.92,0.91537
20,7,Indset,85.662,0.02753
20,7,Cauctions,16.84,0.14405
20,7,Facilities,1.103,0.00496
20,8,Setcover,4.094,0.30448
20,8,Indset,65.296,0
20,8,Cauctions,84.286,0
20,8,Facilities,1.837,0.00256
20,9,Setcover,87.93,0.90991
20,9,Indset,96.489,0
20,9,Cauctions,95.832,0
20,9,Facilities,1.558,0.00085
50,0,Setcover,76.985,1.1986
50,0,Indset,83.989,0
50,0,Cauctions,86.658,0.00027
50,0,Facilities,1.706,0.00054
50,1,Setcover,100,1.04057
50,1,Indset,100,0
50,1,Cauctions,100,0
50,1,Facilities,1.11800,0.00493
50,2,Setcover,53.202,0.11573
50,2,Indset,64.324,0.00631
50,2,Cauctions,48.728,0.31604
50,2,Facilities,1.173,0.00861
50,3,Setcover,95.407,0.96705
50,3,Indset,92.92,0
50,3,Cauctions,98.304,0
50,3,Facilities,1.608,0.00082
50,4,Setcover,76.737,0.83518
50,4,Indset,71.248,0
50,4,Cauctions,91.619,1.00E-05
50,4,Facilities,1.672,0.00183
50,5,Setcover,55.204,0.68056
50,5,Indset,45.852,0.00162
50,5,Cauctions,21.31,0.04192
50,5,Facilities,1.586,0.00051
50,6,Setcover,27.598,0.15983
50,6,Indset,77.667,0
50,6,Cauctions,63.426,2.00E-05
50,6,Facilities,1.561,0.00098
50,7,Setcover,73.557,0.8019
50,7,Indset,95.561,0
50,7,Cauctions,32.067,0.03203
50,7,Facilities,1.675,0.00052
50,8,Setcover,60.9,0.71067
50,8,Indset,78.04,0
50,8,Cauctions,98.112,0.76918
50,8,Facilities,1.588,0.00129
50,9,Setcover,33.147,0.16657
50,9,Indset,178.888,2.70868
50,9,Cauctions,1645.847,11.92814
50,9,Facilities,0.938,0.00379
70,0,Setcover,81.559,0.07036
70,0,Indset,16.178,0.22993
70,0,Cauctions,70.23,0.43117
70,0,Facilities,1.633,0.00059
70,1,Setcover,14.273,0.36036
70,1,Indset,93.686,0
70,1,Cauctions,73.718,0
70,1,Facilities,1.593,0.00115
70,2,Setcover,58.291,0.70002
70,2,Indset,84.622,0
70,2,Cauctions,34.469,0.01741
70,2,Facilities,1.669,0.00087
70,3,Setcover,79.747,0.86108
70,3,Indset,82.456,0
70,3,Cauctions,81.975,0
70,3,Facilities,1.161,0.00483
70,4,Setcover,60.759,0.71244
70,4,Indset,85.337,0
70,4,Cauctions,65.119,0.00025
70,4,Facilities,1.62,0.00205
70,5,Setcover,56.94,0.6933
70,5,Indset,59.027,0.18048
70,5,Cauctions,453.814,2.93123
70,5,Facilities,1.696,0.00095
70,6,Setcover,87.784,0.0565
70,6,Indset,48.999,0.95959
70,6,Cauctions,181.846,1.16755
70,6,Facilities,1.56,0.00136
70,7,Setcover,66.861,0.76864
70,7,Indset,93.926,0
70,7,Cauctions,53.356,0.00187
70,7,Facilities,1.085,0.00549
70,8,Setcover,106.254,0.04048
70,8,Indset,11.297,0.06872
70,8,Cauctions,219.524,1.37728
70,8,Facilities,1.123,0.00665
70,9,Setcover,63.568,0.74348
70,9,Indset,93.584,0
70,9,Cauctions,71.38,1.00E-05
70,9,Facilities,1.643,0.00117
100,0,Setcover,13.513,0.39897
100,0,Indset,64.555,4.00E-05
100,0,Cauctions,29.437,0.21262
100,0,Facilities,1.631,0.00072
100,1,Setcover,89.874,0.92408
100,1,Indset,98.801,0
100,1,Cauctions,99.04,0
100,1,Facilities,1.595,0.00166
100,2,Setcover,60.22,0.71577
100,2,Indset,32.159,0.63991
100,2,Cauctions,383.744,2.529
100,2,Facilities,1.655,0.00117
100,3,Setcover,6.255,0.31469
100,3,Indset,55.503,4.00E-05
100,3,Cauctions,62.695,0.00042
100,3,Facilities,1.478,0.00205
100,4,Setcover,199.445,0.00604
100,4,Indset,274.263,4.80077
100,4,Cauctions,393.007,2.57786
100,4,Facilities,0.926,0.00306
100,5,Setcover,102.366,0.04335
100,5,Indset,342.028,4.15286
100,5,Cauctions,708.048,5.10513
100,5,Facilities,1.047,0.00474
100,6,Setcover,49.352,0.63725
100,6,Indset,73.998,0
100,6,Cauctions,64.158,0.00012
100,6,Facilities,1.586,0.00071
100,7,Setcover,93.57,0.98217
100,7,Indset,65.775,0.07576
100,7,Cauctions,178.365,1.05653
100,7,Facilities,1.58,0.00118
100,8,Setcover,19.167,0.2117
100,8,Indset,40.847,0.00069
100,8,Cauctions,27.843,0.0299
100,8,Facilities,1.622,0.00061
100,9,Setcover,64.184,0.74256
100,9,Indset,81.065,1.19559
100,9,Cauctions,40.06,0.01973
100,9,Facilities,1.252,0.00543
124,0,Setcover,76.325,0.82004
124,0,Indset,70.379,0
124,0,Cauctions,102.54,0.67055
124,0,Facilities,1.628,0.00161
124,1,Setcover,56.725,0.09958
124,1,Indset,63.556,0.97792
124,1,Cauctions,89.294,0.56243
124,1,Facilities,1.665,0.0007
124,2,Setcover,67.522,0.76255
124,2,Indset,83.615,0.1368
124,2,Cauctions,231.026,1.33103
124,2,Facilities,1.595,0.00049
124,3,Setcover,4.046,0.2957
124,3,Indset,44.479,1.12522
124,3,Cauctions,132.605,0.81402
124,3,Facilities,0.91,0.00511
124,4,Setcover,90.227,0.91991
124,4,Indset,97.458,0
124,4,Cauctions,59.186,0.00128
124,4,Facilities,1.549,0.00144
124,5,Setcover,575.653,0.00075
124,5,Indset,1294.082,15.30395
124,5,Cauctions,1713.461,12.35235
124,5,Facilities,1.096,0.00513
124,6,Setcover,85.075,0.88766
124,6,Indset,927.032,11.40493
124,6,Cauctions,2571.065,19.02444
124,6,Facilities,1.118,0.00431
124,7,Setcover,27.523,0.45859
124,7,Indset,45.548,1.02186
124,7,Cauctions,958.111,6.12925
124,7,Facilities,1.738,0.00064
124,8,Setcover,2048.793,0
124,8,Indset,91.14,1.36641
124,8,Cauctions,138.635,0.876
124,8,Facilities,1.13,0.00478
124,9,Setcover,37.59,0.54697
124,9,Indset,89.078,0
124,9,Cauctions,62.051,0.00015
124,9,Facilities,1.736,0.00052
